soil.Carbon,soilpH
132,7.12
164,4.8
160,5.04
165,3.84
140,4.2
168,3.28
140,4
140,3.68
138,3.76
221,2.08
221,2.08
135,3.2
145,9.32
145,9.32
118,9.48
119,9.76
122,9.44
122,9.44
119,9.6
105,9.68
105,9.68
105,9.68
105,9.68
135,9.76
146,9.76
146,9.76
142,9.12
142,9.12
142,9.12
123,9.52
133,9.76
118,9.44
179,9.12
179,9.12
149,9.52
NA,9.6
133,9.76
152,9.44
137,9.44
148,5.32
193,5.36
114,9.52
114,9.52
148,9.16
147,9.48
192,9.48
192,9.48
124,9.6
162,7.2
162,7.2
162,7.2
123,9.64
123,9.64
180,2.2
180,2.2
180,2.2
137,9.28
115,9.56
NA,9.64
126,9.36
166,5.44
124,9.56
191,8.84
114,9.64
158,3.08
117,9.6
122,9.6
129,9.56
129,9.56
184,9.16
160,9.52
178,8.6
125,9.52
154,9.52
122,9.6
155,9.68
155,9.68
155,9.68
177,10.16
177,10.16
131,9.6
185,9.04
185,9.04
127,9.48
127,9.48
154,9.4
136,9.52
157,9.84
158,9.56
148,9.76
165,9.6
165,9.6
136,9.6
186,9.4
114,9.72
131,9.6
131,9.6
131,9.6
131,9.6
183,8.72
182,9.88
190,9.12
176,NA
176,NA
156,8.92
159,NA
182,NA
133,9.96
133,10
118,NA
145,9.36
176,4.56
162,8.4
152,NA
152,NA
171,9.08
NA,9.24
128,9.68
161,9.52
170,2.16
162,8.64
245,8.48
137,9.48
164,9.2
151,9.48
149,5.56
181,5.4
113,9.72
152,9.8
152,9.8
NA,7.84
NA,7.84
NA,7.84
NA,7.84
NA,7.84
NA,7.84
NA,7.84
161,8.64
124,9.28
111,9.52
111,9.52
134,9.44
134,9.44
177,NA
185,8.56
133,9.48
133,9.48
NA,8.8
NA,8.8
162,8.92
123,9.72
122,9.76
155,9.16
155,9.16
155,9.16
155,9.16
155,9.16
155,9.16
155,9.16
155,9.16
155,9.16
155,9.16
155,9.16
155,9.16
155,9.16
155,9.16
155,9.16
NA,NA
167,4
133,9.6
164,2.36
123,9.24
123,9.24
123,9.24
128,9.68
105,9.64
145,7.76
145,7.76
173,7.08
139,7.88
137,8.44
119,9.88
131,7.92
179,9.68
161,9.48
135,8.92
135,8.92
NA,8.64
NA,8.64
NA,8.64
NA,9.32
164,9.52
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
121,8.92
NA,8.4
127,9.6
