Accepted_binomial,Annual_Mean_Temp_1,AnnualPrecipitation_1
Athyrium arcuatum ,165,446
Athyrium arcuatum ,186,1303
Athyrium arcuatum ,209,1309
Athyrium arcuatum ,177,1211
Athyrium arcuatum ,242,928
Athyrium arcuatum ,150,819
Athyrium arcuatum ,108,1247
Athyrium arcuatum ,229,722
Athyrium arcuatum ,159,942
Athyrium arcuatum ,163,829
Athyrium arcuatum ,163,829
Athyrium arcuatum ,148,818
Athyrium arcuatum ,177,743
Athyrium arcuatum ,180,1369
Athyrium arcuatum ,181,660
Athyrium arcuatum ,181,660
Athyrium arcuatum ,171,775
Athyrium arcuatum ,185,622
Athyrium arcuatum ,198,397
Athyrium arcuatum ,139,879
Athyrium arcuatum ,134,898
Athyrium arcuatum ,171,437
Athyrium arcuatum ,185,709
Athyrium arcuatum ,185,709
Athyrium arcuatum ,132,893
Athyrium arcuatum ,132,893
Athyrium arcuatum ,123,1057
Athyrium arcuatum ,123,1057
Athyrium arcuatum ,120,1101
Athyrium arcuatum ,160,706
Athyrium arcuatum ,107,1104
Athyrium arcuatum ,107,1104
Athyrium arcuatum ,129,1088
Athyrium arcuatum ,143,717
Athyrium arcuatum ,154,1291
Athyrium arcuatum ,143,790
Athyrium arcuatum ,159,1271
Athyrium arcuatum ,148,904
Athyrium arcuatum ,85,1588
Athyrium arcuatum ,90,1668
Athyrium arcuatum ,85,1588
Athyrium arcuatum ,122,1651
Athyrium arcuatum ,123,1705
Athyrium arcuatum ,123,1705
Athyrium arcuatum ,127,1468
Athyrium arcuatum ,127,1468
Athyrium arcuatum ,120,1509
Athyrium arcuatum ,120,1509
Athyrium arcuatum ,91,1482
Athyrium arcuatum ,83,1669
Athyrium arcuatum ,124,1111
Athyrium arcuatum ,118,1007
Athyrium arcuatum ,120,807
Athyrium arcuatum ,137,1011
Athyrium arcuatum ,137,1011
Athyrium arcuatum ,135,1060
Athyrium arcuatum ,129,1090
Athyrium arcuatum ,108,1188
Athyrium arcuatum ,107,1217
Athyrium arcuatum ,138,1083
Athyrium arcuatum ,143,1082
Athyrium arcuatum ,159,742
Athyrium arcuatum ,158,1042
Athyrium arcuatum ,194,1146
Athyrium arcuatum ,194,1146
Athyrium arcuatum ,122,873
Athyrium arcuatum ,140,496
Athyrium arcuatum ,137,751
Athyrium arcuatum ,136,772
Athyrium arcuatum ,119,834
Athyrium arcuatum ,117,834
Athyrium arcuatum ,117,834
Athyrium arcuatum ,138,467
Athyrium arcuatum ,160,615
Athyrium arcuatum ,155,655
Athyrium arcuatum ,116,702
Athyrium arcuatum ,94,1077
Athyrium arcuatum ,94,1077
Athyrium arcuatum ,245,1704
Athyrium arcuatum ,245,1704
Athyrium arcuatum ,245,1704
Athyrium arcuatum ,157,1938
Athyrium arcuatum ,156,1919
Athyrium arcuatum ,156,1919
Athyrium arcuatum ,154,1996
Athyrium arcuatum ,154,1996
Athyrium arcuatum ,154,1996
Athyrium arcuatum ,154,1996
Athyrium arcuatum ,154,1996
Athyrium arcuatum ,154,1996
Athyrium arcuatum ,153,1593
Athyrium arcuatum ,153,1593
Athyrium arcuatum ,155,1481
Athyrium arcuatum ,108,1056
Athyrium arcuatum ,108,1056
Athyrium arcuatum ,200,2273
Athyrium arcuatum ,123,1618
Athyrium arcuatum ,149,1570
Athyrium arcuatum ,149,1570
Athyrium arcuatum ,149,1570
Athyrium arcuatum ,201,1471
Athyrium arcuatum ,201,1471
Athyrium arcuatum ,152,1874
Athyrium arcuatum ,152,1874
Athyrium arcuatum ,152,1874
Athyrium arcuatum ,141,1621
Athyrium arcuatum ,141,1621
Athyrium arcuatum ,141,1621
Athyrium arcuatum ,178,1500
Athyrium arcuatum ,158,1486
Athyrium arcuatum ,158,1486
Athyrium arcuatum ,158,1486
Athyrium arcuatum ,158,1486
Athyrium arcuatum ,158,1486
Athyrium arcuatum ,158,1486
Athyrium arcuatum ,158,1486
Athyrium arcuatum ,158,1486
Athyrium arcuatum ,150,1808
Athyrium arcuatum ,106,2719
Athyrium arcuatum ,116,2835
Athyrium arcuatum ,188,538
Athyrium arcuatum ,190,1520
Athyrium arcuatum ,150,1692
Athyrium arcuatum ,187,1080
Athyrium arcuatum ,151,1082
Athyrium arcuatum ,187,1080
Athyrium arcuatum ,151,1470
Athyrium arcuatum ,138,3554
Athyrium arcuatum ,107,3438
Athyrium arcuatum ,115,3613
Athyrium arcuatum ,115,3613
Athyrium arcuatum ,115,3613
Athyrium arcuatum ,107,3696
Athyrium arcuatum ,107,3696
Athyrium arcuatum ,105,3679
Athyrium arcuatum ,169,2623
Athyrium arcuatum ,169,2623
Athyrium arcuatum ,169,2623
Athyrium arcuatum ,169,2623
Athyrium arcuatum ,169,2623
Athyrium arcuatum ,97,3871
Athyrium arcuatum ,97,3871
Athyrium arcuatum ,126,3249
Athyrium arcuatum ,160,2812
Athyrium arcuatum ,112,4104
Athyrium arcuatum ,91,3869
Athyrium arcuatum ,91,3869
Athyrium arcuatum ,94,3725
Athyrium arcuatum ,98,3975
Athyrium arcuatum ,95,3942
Athyrium arcuatum ,75,3919
Athyrium arcuatum ,75,3919
Athyrium arcuatum ,78,3816
Athyrium arcuatum ,86,3938
Athyrium arcuatum ,79,3931
Athyrium arcuatum ,201,4308
Athyrium arcuatum ,201,4308
Athyrium arcuatum ,96,3557
Athyrium arcuatum ,91,3833
Athyrium arcuatum ,97,3871
Athyrium arcuatum ,97,3871
Athyrium arcuatum ,90,3811
Athyrium arcuatum ,106,2945
Athyrium arcuatum ,90,3971
Athyrium arcuatum ,90,3971
Athyrium arcuatum ,107,3040
Athyrium arcuatum ,107,3040
Athyrium arcuatum ,107,3040
Athyrium arcuatum ,107,3040
Athyrium arcuatum ,74,2997
Athyrium arcuatum ,74,2997
Athyrium arcuatum ,74,3077
Athyrium arcuatum ,109,2974
Athyrium arcuatum ,109,2974
Athyrium arcuatum ,109,2974
Athyrium arcuatum ,127,3345
Athyrium arcuatum ,124,3441
Athyrium arcuatum ,95,3956
Athyrium arcuatum ,121,3826
Athyrium arcuatum ,121,3826
Athyrium arcuatum ,108,3708
Athyrium arcuatum ,95,896
Athyrium arcuatum ,116,1131
Athyrium arcuatum ,158,587
Athyrium arcuatum ,120,742
Athyrium arcuatum ,90,1269
Athyrium arcuatum ,114,1267
Athyrium arcuatum ,66,1460
Athyrium arcuatum ,94,1479
Athyrium arcuatum ,86,888
Athyrium arcuatum ,117,892
Athyrium arcuatum ,86,888
Athyrium arcuatum ,48,811
Athyrium arcuatum ,105,1492
Athyrium arcuatum ,209,2478
Athyrium arcuatum ,67,1197
Athyrium arcuatum ,102,1460
Athyrium arcuatum ,102,1460
Athyrium arcuatum ,138,1268
Athyrium arcuatum ,139,1549
Athyrium arcuatum ,139,1549
Athyrium arcuatum ,185,2081
Athyrium arcuatum ,139,2191
Athyrium arcuatum ,90,2241
Athyrium arcuatum ,72,1858
Athyrium arcuatum ,102,1925
Athyrium arcuatum ,102,1925
Athyrium arcuatum ,102,1925
Athyrium arcuatum ,119,1496
Athyrium arcuatum ,127,1329
Athyrium arcuatum ,101,1697
Athyrium arcuatum ,101,1697
Athyrium arcuatum ,96,1224
Athyrium arcuatum ,106,1091
Athyrium arcuatum ,255,1802
Athyrium arcuatum ,255,1802
Athyrium arcuatum ,255,1802
Athyrium arcuatum ,255,1802
Athyrium arcuatum ,109,1618
Athyrium arcuatum ,114,1316
Athyrium arcuatum ,137,1799
Athyrium arcuatum ,117,1187
Athyrium arcuatum ,117,1187
Athyrium arcuatum ,125,1194
Athyrium arcuatum ,125,1194
Athyrium arcuatum ,105,1282
Athyrium arcuatum ,105,1282
Athyrium arcuatum ,122,1146
Athyrium arcuatum ,122,1146
Athyrium arcuatum ,102,1077
Athyrium arcuatum ,115,973
Athyrium arcuatum ,159,1404
Athyrium arcuatum ,119,1577
Athyrium arcuatum ,119,1577
Athyrium arcuatum ,241,3322
Athyrium arcuatum ,260,2805
Athyrium arcuatum ,257,3138
Athyrium arcuatum ,257,3138
Athyrium arcuatum ,90,2072
Athyrium arcuatum ,144,2131
Athyrium arcuatum ,144,2131
Athyrium arcuatum ,84,1183
Athyrium arcuatum ,86,1128
Athyrium arcuatum ,125,1871
Athyrium arcuatum ,196,1340
Athyrium arcuatum ,93,902
Athyrium arcuatum ,114,1508
Athyrium arcuatum ,194,1948
Athyrium arcuatum ,64,1413
Athyrium arcuatum ,80,1013
Athyrium arcuatum ,108,1554
Athyrium arcuatum ,78,1612
Athyrium arcuatum ,75,1672
Athyrium arcuatum ,79,1657
Athyrium arcuatum ,79,1657
Athyrium arcuatum ,75,1672
Athyrium arcuatum ,214,1271
Athyrium arcuatum ,122,863
Athyrium arcuatum ,122,889
Athyrium arcuatum ,122,889
Athyrium arcuatum ,116,962
Athyrium arcuatum ,136,1356
Athyrium arcuatum ,198,1492
Athyrium arcuatum ,266,2384
Athyrium arcuatum ,147,1973
Athyrium arcuatum ,149,834
Athyrium arcuatum ,103,1218
Athyrium arcuatum ,103,1218
Athyrium arcuatum ,103,1218
Athyrium arcuatum ,223,908
Athyrium arcuatum ,176,819
Athyrium arcuatum ,139,715
Athyrium arcuatum ,152,1707
Athyrium arcuatum ,127,1991
Athyrium arcuatum ,137,2072
Athyrium arcuatum ,137,2072
Athyrium arcuatum ,137,2072
Athyrium arcuatum ,137,2072
Athyrium arcuatum ,123,1873
Athyrium arcuatum ,123,1873
Athyrium arcuatum ,123,1873
