elevation,annual_mean_temp,annual_precipitation,soil.Carbon,soilpH
3608,-82,1465,158,6.32
3480,-75,1516,158,7.12
3231,33,525,146,5.8
3231,33,525,146,5.8
3169,27,402,183,2.44
3142,30,416,132,6.8
3124,6,584,149,7.44
3024,28,408,150,4.08
3003,37,443,128,6.44
2995,34,344,152,4.72
2937,15,527,138,8.88
2837,85,580,167,8.12
2827,30,633,146,3.88
2827,30,633,146,3.88
2827,30,633,146,3.88
2827,30,633,146,3.88
2827,30,633,146,3.88
2748,25,595,121,5.16
2707,30,426,146,7
2707,30,426,146,7
2701,44,406,140,5.76
2660,29,503,139,8.56
2658,-7,707,137,4
2655,-18,1050,153,5.72
2649,42,248,163,4.12
2612,17,282,160,5.04
2592,44,395,155,3.6
2554,39,246,145,4
2536,68,564,160,3.52
2524,45,550,175,4.32
2508,56,411,157,4.44
2499,59,520,148,5.6
2499,59,520,148,5.6
2488,64,192,224,2.68
2434,56,1014,153,9.08
2424,44,580,108,5.24
2424,44,580,108,5.24
2424,44,580,108,5.24
2407,55,385,155,3.6
2406,55,389,164,3.96
2403,61,290,139,3.28
2401,50,972,154,8.44
2400,44,667,131,4.44
2395,-14,1392,150,7.72
2374,72,361,224,2.52
2374,72,361,224,2.52
2372,10,600,149,4.72
2371,51,447,154,3.56
2368,53,525,NA,7.16
2357,52,336,150,3.8
2330,72,310,195,1.92
2327,57,537,141,5.2
2327,57,537,141,5.2
2316,-14,1302,162,5.2
2316,-14,1302,162,5.2
2306,16,847,154,4.88
2306,16,847,154,4.88
2297,91,463,154,4.44
2286,17,684,133,4.84
2280,13,1059,158,3.52
2278,17,772,154,5.04
2275,21,402,133,5.16
2269,84,461,154,4.56
2241,18,592,148,3.76
2240,55,1509,129,6.96
2208,-4,909,154,3.68
2196,-30,466,153,4.8
2196,93,337,184,2.48
2188,72,701,159,7.08
2166,2,1041,158,7.2
2130,31,609,157,5.2
2129,81,577,141,5.12
2129,81,577,141,5.12
2123,88,514,133,3.88
2111,59,1268,143,5.44
2107,64,382,158,3.84
2100,15,833,143,4.84
2097,32,1616,141,7.72
2097,87,566,177,6.24
2092,80,746,157,5.92
2092,80,746,157,5.92
2092,80,746,157,5.92
2092,26,600,145,4.72
2088,14,835,143,4.32
2087,6,1015,153,7.64
2085,95,489,164,4.12
2064,112,507,148,3.92
2056,96,582,164,4.4
2056,96,582,164,4.36
2056,96,582,164,4.36
2051,2,958,151,8.48
2039,9,866,161,5.04
2039,9,866,161,5.04
2038,41,1247,141,6.28
2038,8,1750,170,9.68
2038,8,1750,170,9.68
2037,62,1921,141,8.56
2037,62,1921,141,7.48
2035,94,502,133,4
2035,94,502,133,4
2029,63,715,165,4.6
2029,44,711,177,9.08
2028,2,720,164,7.24
2001,72,1416,143,6.76
2001,72,1416,143,6.76
1991,72,435,123,4.16
1989,101,491,197,2.24
1981,63,552,127,3.84
1978,80,358,188,1.68
1978,80,358,188,1.68
1978,80,358,188,1.68
1971,61,1273,130,8
1954,42,762,130,6.72
1954,42,523,163,3.56
1950,90,657,119,5.04
1930,101,221,168,1.96
1907,13,2034,150,9.44
1904,47,657,144,5.08
1899,2,2578,136,9.48
1898,21,1336,153,9.6
1888,104,585,159,4.36
1876,86,627,135,7.36
1867,100,169,232,2.28
1861,40,485,129,5.48
1857,-86,421,145,8.84
1857,0,1500,135,9.32
1855,45,370,154,3.28
1855,45,370,154,3.28
1855,45,370,154,3.28
1855,45,370,154,3.28
1855,45,370,154,3.28
1855,45,370,154,3.28
1850,42,431,155,5
1850,42,431,155,5
1844,19,791,161,3.92
1840,29,690,161,4.32
1838,70,1442,138,6.56
1835,12,1958,162,9
1823,12,1118,136,7.32
1820,72,1180,137,7.44
1812,-6,416,179,6.36
1810,86,949,129,5.92
1809,72,1870,140,7.76
1799,70,208,141,1.92
1794,-18,1376,140,7.56
1793,48,602,138,3.92
1783,-7,389,153,5.04
1781,-28,859,143,7.28
1778,77,1734,146,7.88
1778,77,1734,146,7.88
1776,75,1649,135,8.96
1767,32,1125,135,8
1765,45,596,147,4.64
1765,47,415,155,4.56
1764,19,963,148,9.96
1763,99,628,171,4.12
1759,73,226,165,2.4
1756,81,889,158,4
1754,-23,1246,136,8.08
1754,5,1132,144,4.08
1750,20,821,152,8.16
1748,81,1915,159,8.24
1747,78,1254,160,5
1739,-15,716,168,6.92
1737,98,976,136,5.4
1730,26,694,166,8
1729,15,1543,153,9.6
1727,47,1527,123,7.36
1716,49,591,142,5.04
1712,107,489,178,2.64
1711,50,665,154,4.84
1708,88,397,NA,7.28
1701,114,498,161,4.52
1695,82,1531,138,8.08
1689,85,1509,141,6.28
1683,83,1685,141,8.48
1683,83,1685,141,8.48
1683,83,1685,141,8.48
1682,29,683,140,8.36
1682,29,683,140,8.36
1680,84,1210,136,6.8
1678,60,435,146,4.56
1677,26,540,165,2.92
1673,83,2024,139,8.4
1673,83,2024,139,8.4
1669,43,1847,116,9.52
1665,82,1518,135,8.76
1665,86,1957,147,7.32
1657,117,481,161,4.52
1653,80,281,187,1.56
1644,23,1952,162,6.56
1642,118,558,171,3.6
1640,84,1462,143,8.96
1639,47,587,128,3.92
1638,100,186,221,2.08
1633,62,757,138,5.64
1631,59,695,152,4.12
1631,71,326,138,3.36
1623,58,534,148,3.36
1617,63,277,153,3.44
1616,49,1550,130,7.76
1615,-4,894,177,6.88
1614,36,1090,165,10.12
1614,64,436,NA,4.28
1608,56,577,154,4.2
1607,28,922,157,9.12
1605,87,1766,141,9.8
1605,87,1766,141,9.8
1604,85,1093,137,6.32
1604,85,1093,137,6.32
1604,85,1093,137,6.32
1594,73,1035,136,7.24
1586,120,259,231,1.12
1584,20,1332,165,9.28
1580,20,2552,151,7.88
1569,49,1891,118,9.48
1564,56,1204,119,6.44
1562,88,1699,133,6.68
1557,38,902,145,8.92
1557,38,902,145,8.92
1556,41,526,152,4.2
1549,-18,1686,120,8.12
1545,44,1146,144,5.92
1543,90,1261,164,5.08
1543,90,1261,164,4.72
1543,90,1261,164,5.08
1543,90,1261,164,5.08
1543,90,1261,164,5.08
1542,-15,786,150,9.2
1529,38,522,167,5.48
1525,51,1897,133,7.28
1523,70,614,127,8.24
1518,-9,1279,133,9.16
1509,71,606,127,8.44
1509,21,472,163,5.4
1507,42,499,157,4.36
1504,91,1235,154,5.96
1503,50,993,135,5.44
1499,30,672,149,3.28
1495,65,760,145,3.52
1495,38,548,134,4.48
1488,93,1166,144,4.84
1485,55,704,142,4.84
1484,62,451,137,4.08
1482,41,1014,157,6.96
1479,70,297,121,2.76
1479,70,297,121,2.76
